timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1678801547872,635,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-57,text,true,,92872,138,57,57,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,448,0,0
1678801547956,578,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-34,text,true,,91420,125,57,57,https://yame.vn/bo-suu-tap/bbuff,427,0,0
1678801547956,588,Yame-/bo-suu-tap/bbuff,200,OK,Thread Group-Yame 1-95,text,true,,91414,125,56,56,https://yame.vn/bo-suu-tap/bbuff,429,0,0
1678801547284,1280,Yame,200,OK,Thread Group-Yame 1-84,text,true,,103329,228,55,55,https://yame.vn/home/v2022,510,0,0
1678801547284,510,Yame-0,302,Found,Thread Group-Yame 1-84,text,true,,1384,109,55,55,https://yame.vn/,510,0,0
1678801547794,770,Yame-1,200,OK,Thread Group-Yame 1-84,text,true,,101945,119,55,55,https://yame.vn/home/v2022,535,0,0
1678801547424,1165,Yame,200,OK,Thread Group-Yame 1-37,text,true,,103378,228,55,55,https://yame.vn/home/v2022,532,0,0
1678801547424,532,Yame-0,302,Found,Thread Group-Yame 1-37,text,true,,1390,109,55,55,https://yame.vn/,532,0,0
1678801547956,633,Yame-1,200,OK,Thread Group-Yame 1-37,text,true,,101988,119,55,55,https://yame.vn/home/v2022,534,0,0
1678801547309,1295,Yame,200,OK,Thread Group-Yame 1-60,text,true,,103348,228,55,55,https://yame.vn/home/v2022,519,0,0
1678801547309,519,Yame-0,302,Found,Thread Group-Yame 1-60,text,true,,1398,109,55,55,https://yame.vn/,519,0,0
1678801547828,776,Yame-1,200,OK,Thread Group-Yame 1-60,text,true,,101950,119,55,55,https://yame.vn/home/v2022,533,0,0
1678801547974,632,Yame-/shop/quan-short?s=2,200,OK,Thread Group-Yame 1-47,text,true,,91242,128,55,55,https://yame.vn/shop/quan-short?s=2,430,0,0
1678801547973,634,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-79,text,true,,92876,138,55,55,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,430,0,0
1678801547999,615,Yame-/shop/phu-kien-nam?s=2,200,OK,Thread Group-Yame 1-55,text,true,,89626,130,55,55,https://yame.vn/shop/phu-kien-nam?s=2,427,0,0
1678801546716,1916,Yame-/shop/bltx?s=2,200,OK,Thread Group-Yame 1-4,text,true,,88398,122,55,55,https://yame.vn/shop/bltx?s=2,1444,0,986
1678801548061,613,Yame-/shop/gu-thoi-trang-unisex?s=2,200,OK,Thread Group-Yame 1-93,text,true,,92874,138,55,55,https://yame.vn/shop/gu-thoi-trang-unisex?s=2,446,0,0
