Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Story,N5-67,10540,SY-ATC 19-Add to cart- Add price not less than 100,,,Minh cong,62980c5dc3dffc0068f5bc00,High,To Do,,06/Feb/23 11:05 AM,06/Feb/23 11:05 AM,
Story,N5-68,10541,IT - ATC 19 - Add to cart - Add price not less than 100,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Highest,To Do,,06/Feb/23 11:06 AM,06/Feb/23 11:06 AM,
Story,N5-69,10542,U-E 22-Edit- Edit product quantity,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 11:07 AM,06/Feb/23 11:16 AM,
Story,N5-70,10543,SY-SP 20 -Search products-Imported but the product is not available,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 11:08 AM,06/Feb/23 11:08 AM,
Story,N5-71,10544,U-E 23-Edit- Edit product size,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 11:10 AM,06/Feb/23 11:19 AM,
Story,N5-72,10545,IT - SP 20 - Search products - Imported but the product is not available,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 11:11 AM,06/Feb/23 11:12 AM,
Story,N5-73,10546,U-D 24-Delete- Delete product,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 11:15 AM,06/Feb/23 11:22 AM,
Story,N5-74,10547,IT - SP 21 - Search products - Leave the search box blank,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 11:16 AM,06/Feb/23 11:16 AM,
Story,N5-75,10548,SY-E 22-Edit- Edit product quantity,,,Minh cong,62980c5dc3dffc0068f5bc00,Medium,To Do,,06/Feb/23 11:17 AM,06/Feb/23 11:17 AM,
Story,N5-76,10549,IT - E 22 - Edit - Edit product quantity,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 11:18 AM,06/Feb/23 11:18 AM,
Story,N5-77,10550,SY-E 23-Edit- Edit product size,,,Minh cong,62980c5dc3dffc0068f5bc00,Highest,To Do,,06/Feb/23 11:19 AM,06/Feb/23 11:19 AM,
Story,N5-78,10551, IT - E 23 - Edit - Edit product size,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 11:20 AM,06/Feb/23 11:20 AM,
Story,N5-79,10552,U-BP 25 -Buy product- Buy product,,,Phuc Mai,629810e7cd636500697caeb0,Medium,To Do,,06/Feb/23 11:21 AM,06/Feb/23 11:21 AM,
Story,N5-80,10553,IT - D 24 - Delete - Delete product,,,phuongg lee,62980ce6a0eafd0069e8d5a0,Medium,To Do,,06/Feb/23 11:22 AM,06/Feb/23 11:22 AM,
