Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Attachment,Attachment,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Step),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
SY-ATC 16-Add to cart-Add product no product info,N5-61,10534,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 10:58 AM,06/Feb/23 10:58 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add product no product info,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-30,,,No actual result,,,,,,,,,N5-3,Thêm sản phẩm,,,No product information,,,,,0|i00367:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
IT - ATC 16 - Add to cart - Add product no product info,N5-60,10533,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 10:57 AM,06/Feb/23 11:01 AM,06/Feb/23 11:23 AM,,,0,addtocart,Add to cart - Add product no product info,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,,,Does not exist on the system,,,,,,,,,N5-3,Thêm sản phẩm,,, Add to cart - Add product no product info,,,,,0|i0035z:,,BN Sprint 3,,,,,,,,Integration,,Skip,,,To Do
U-SP 20 -Search products-Imported but the product is not available,N5-59,10532,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 10:57 AM,06/Feb/23 11:02 AM,06/Feb/23 11:23 AM,,,0,searchproduct,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/Feb/23 10:54 AM;ug:2044195a-f36f-493c-87d2-070fe831c35d;z4087519369314_e29befd20d28cd863c33a643d2c43f13.jpg;https://lequangthuan.atlassian.net/secure/attachment/10194/z4087519369314_e29befd20d28cd863c33a643d2c43f13.jpg,,"
There are no products to search for",,,,,,,,,N5-6,Tìm kiếm sản phẩm,,,"
There are no products to search for",,,,,0|i0035r:,,BN Sprint 1,,,,,,,,Unit,"B1 Enter khoa,B2 click button search",Pass,,,To Do
IT - ATC 15 - Add to cart - Add product to cart,N5-58,10531,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Medium,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 10:54 AM,06/Feb/23 10:54 AM,06/Feb/23 11:23 AM,,,0,addtocart, Add to cart - Add product to cart,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-3,06/Feb/23 10:53 AM;ug:08efb4fd-f698-45da-a2c2-ac2962e4e722;image-20230206-035333.png;https://lequangthuan.atlassian.net/secure/attachment/10193/image-20230206-035333.png,,Error checking successful,,,,,,,,,N5-3,Thêm sản phẩm,,,Product added to cart,,,,,0|i0035j:,,BN Sprint 3,,,,,,,,Integration,"1. Choose product
2. Add to cart
3. Check",Skip,,,To Do
SY-L 10 Login - Passwords do not Match,N5-57,10530,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 10:53 AM,06/Feb/23 10:53 AM,06/Feb/23 11:23 AM,,,0,Login,Passwords do not Match,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-16,,,No actual result,,,,,,,,,N5-1,LOGIN,,,Passwords do not Match,,,,,0|i0035b:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
SY-L 9 Login - Confirm Password must not be blank,N5-56,10529,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 10:52 AM,06/Feb/23 10:52 AM,06/Feb/23 11:23 AM,,,0,Login,Confirm Password must not be blank,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-16,,,No actial result,,,,,,,,,N5-1,LOGIN,,,Confirm Password must not be blank,,,,,0|i00353:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
U-ATC 19-Add to cart- Add price not less than 100,N5-55,10528,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Phuc Mai,629810e7cd636500697caeb0,Phuc Mai,629810e7cd636500697caeb0,06/Feb/23 10:51 AM,06/Feb/23 11:06 AM,06/Feb/23 11:23 AM,,,0,addtocart,,,Phuc Mai,629810e7cd636500697caeb0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No actual result,,,,,,,,,N5-3,Thêm sản phẩm,,,Unreasonable price re-enter,,,,,0|i0034v:,,BN Sprint 1,,,,,,,,Unit,,Skip,,,To Do
SY-L 8 Login - Choose a difficult Password,N5-54,10527,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 10:50 AM,06/Feb/23 10:50 AM,06/Feb/23 11:23 AM,,,0,Login,Choose a difficult Password,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-1,,,No actual result,,,,,,,,,N5-1,LOGIN,,,Choose a difficult Password,,,,,0|i0034n:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
IT - L 10 Login - Passwords do not Match,N5-53,10526,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,phuongg lee,62980ce6a0eafd0069e8d5a0,phuongg lee,62980ce6a0eafd0069e8d5a0,06/Feb/23 10:48 AM,06/Feb/23 10:48 AM,06/Feb/23 11:23 AM,,,0,Login,Passwords do not Match,,phuongg lee,62980ce6a0eafd0069e8d5a0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-1,,,Does not exist on the system,,,,,,,,,N5-1,LOGIN,,,Errors appear : Passwords do not Match,,,,,0|i0034f:,,BN Sprint 3,,,,,,,,Integration,,Skip,,,To Do
SY-L 7 Login - Enter at-least one special character,N5-52,10525,Story,To Do,N5,N5_CT21CT04,software,Thuận Quang,629f6882d442e600684137ca,,Highest,,,,Minh cong,62980c5dc3dffc0068f5bc00,Minh cong,62980c5dc3dffc0068f5bc00,06/Feb/23 10:47 AM,06/Feb/23 10:47 AM,06/Feb/23 11:23 AM,,,0,Login,Enter at-least one special character,,Minh cong,62980c5dc3dffc0068f5bc00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N5-30,,,No actual result,,,,,,,,,N5-1,LOGIN,,,Enter at-least one special characte,,,,,0|i00347:,,BN Sprint 2,,,,,,,,System,,Skip,,,To Do
